"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: EXPECTED_TABLE_SIZE","Param: size"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,5243789.998169543,142482.29744650197,"ops/s","3000","30"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,3928931.8191645686,225493.7044072727,"ops/s","3000","40"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,3254202.0874686,96238.07474660217,"ops/s","3000","50"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,2744851.915534305,109565.18927173738,"ops/s","3000","60"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,2478276.8399428623,75213.27490396884,"ops/s","3000","70"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,2102569.4762526876,57108.64435364834,"ops/s","3000","80"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,1929966.65034657,54791.86495532725,"ops/s","3000","90"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,1694837.442030018,70830.07802883268,"ops/s","3000","100"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,778963.6168702072,61691.98366497506,"ops/s","3000","200"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,532669.8578611236,27303.929860584678,"ops/s","3000","300"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,403545.8569855607,21018.694412005432,"ops/s","3000","400"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,319300.7978700655,9914.859940364766,"ops/s","3000","500"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,264974.7613395401,7288.353272613472,"ops/s","3000","600"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,227944.5355746184,6332.705643329071,"ops/s","3000","700"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,199806.5425270201,6394.173728118423,"ops/s","3000","800"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,176486.00070169178,7959.129802190857,"ops/s","3000","900"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,155110.3963262146,7898.401988406586,"ops/s","3000","1000"
"net.glease.SimpleDatabaseBenchmark.arrayCache","thrpt",1,16,84535.65516785976,2738.1461289237345,"ops/s","3000","2000"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,8025856.236255751,1557270.0880642075,"ops/s","3000","1"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,6929878.921414976,1380126.4706048816,"ops/s","3000","2"
"net.glease.SimpleDatabaseBenchmark.naive","thrpt",1,16,6311461.914863191,699862.373440947,"ops/s","3000","3"
